file_no,randomized_cut_weight,greedy_cut_weight,semi_greedy_cut_weight,local_search_iterations,local_search_avg_cut_weight,grasp_iterations,grasp_cut_weight
1,9571.8,10956,11235,66,11340.32,2,11404
2,9571.0,11030,11135,95,11289.45,2,11390
3,9588.3,11012,11100,119,11294.21,2,11421
4,9631.2,11031,11254,75,11364.35,2,11424
5,9572.8,10990,11169,72,11305.72,2,11381
6,72.9,1515,1647,90,1806.42,2,1891
7,-81.8,1362,1431,104,1597.62,2,1785
8,-94.9,1331,1470,69,1613.07,2,1683
9,-58.9,1507,1591,81,1732.35,2,1821
10,-96.0,1350,1505,98,1663.23,2,1762
11,25.8,434,468,6,475.0,2,480
12,8.4,418,432,8,441.0,2,450
13,19.2,432,472,7,480.0,2,486
14,2333.6,2890,2936,33,2963.21,2,2981
15,2326.3,2873,2922,22,2938.23,2,2950
16,2364.7,2878,2943,23,2964.39,2,2977
17,2325.3,2864,2930,19,2943.68,2,2956
18,42.5,780,775,48,821.33,2,869
19,-54.7,681,639,66,712.2,2,772
20,-27.0,698,732,39,770.67,2,796
21,-41.0,704,719,48,764.96,2,815
22,9980.6,12346,12746,101,12881.71,2,12958
23,10016.2,12291,12769,71,12871.66,2,12962
24,10019.3,12367,12630,104,12774.96,2,12885
25,10048.9,12408,12811,81,12896.93,2,12952
26,10008.5,12355,12690,91,12792.66,2,12920
27,-49.0,2316,2480,154,2676.94,2,2867
28,-74.1,2329,2482,185,2691.35,2,2829
29,66.3,2367,2528,196,2751.69,2,2907
30,57.9,2401,2560,178,2777.87,2,2911
31,-11.3,2290,2400,188,2626.53,2,2806
32,22.2,1058,1136,15,1152.0,2,1166
33,-7.0,1000,1108,21,1130.0,2,1150
34,-29.0,988,1140,19,1160.0,2,1178
35,5901.2,7252,7361,58,7404.14,2,7468
36,5889.4,7225,7397,49,7433.29,2,7459
37,5906.5,7264,7372,53,7426.19,2,7458
38,5864.0,7305,7378,64,7422.39,2,7455
39,37.9,1861,1770,147,1929.28,2,2062
40,-58.8,1834,1803,136,1944.76,2,2062
41,25.7,1876,1825,125,1968.48,2,2081
42,37.3,1989,1863,177,2046.12,2,2168
43,5001.1,6188,6310,67,6382.72,2,6453
44,4989.8,6157,6281,87,6398.13,2,6470
45,5011.4,6179,6321,73,6396.6,2,6444
46,5005.4,6150,6337,66,6422.61,2,6471
47,4996.7,6220,6381,56,6449.43,2,6486
48,2993.6,6000,0,0,0,2,6000
49,3020.0,6000,0,0,0,2,6000
50,2995.2,5880,0,0,0,2,5880
51,2959.5,3626,3701,28,3724.18,2,3738
52,2949.6,3650,3711,23,3728.35,2,3744
53,2978.5,3632,3707,24,3725.08,2,3747
54,2961.3,3633,3706,25,3725.16,2,3738
