criteria, max_depth, avg_accuracy, nodes
IG, 0, 0.841667, 13
IG, 1, 0.836667, 5
IG, 2, 0.835, 7
IG, 3, 0.833333, 9
IG, 4, 0.831667, 11
IG, 5, 0.836667, 13
IG, 6, 0.835, 13
IG, 7, 0.831667, 13
IG, 8, 0.823333, 13
IG, 9, 0.83, 13
IGR, 0, 0.843333, 13
IGR, 1, 0.83, 5
IGR, 2, 0.833333, 7
IGR, 3, 0.831667, 9
IGR, 4, 0.835, 11
IGR, 5, 0.825, 13
IGR, 6, 0.836667, 13
IGR, 7, 0.835, 13
IGR, 8, 0.838333, 13
IGR, 9, 0.84, 13
NWIG, 0, 0.84, 13
NWIG, 1, 0.845, 5
NWIG, 2, 0.831667, 7
NWIG, 3, 0.82, 9
NWIG, 4, 0.835, 11
NWIG, 5, 0.83, 13
NWIG, 6, 0.838333, 13
NWIG, 7, 0.838333, 13
NWIG, 8, 0.845, 13
NWIG, 9, 0.828333, 13
